Tagalog,Translation
minamahal,sa
moria,imo
naghanda,sa
tauhan,sa
nagsibak,kaupod
babalikan,sa
korderong,nga
tinalian,sa
ipinagkait,sa
inialay,ang
sumabit,sa
yireh,sa
yahweh,sa
ipagkakaloob,sa
arba,amo
ipagluksa,amo
kiryat,amo
mawala,nga
mapaglilibingan,sa
prinsipe,sa
magkakait,sa
ilibing,ang
paglibingan,sa
pinakamabuti,sa
pagbili,nga
macpela,nga
mamagitan,kamo
sang,ang
efron,efron
kabuuang,sa
paglilibingan,sa
yumukod,sang
ililibing,ako
gaano,sa
karaniwan,sa
mangangalakal,amo
timbang,ang
tinimbang,amo
pinagpala,sa
pakilagay,imo
namamahala,imo
pinakamatanda,imo
panunumpain,kaupod
ngalan,kaupod
ikukuha,sa
pinanggalingan,nagpamangkot
ibalik,sa
pabalikin,mag
mesopotamia,sa
pinaluhod,sa
papalubog,sa
paglabas,sa
magmagandang,imo
tagumpay,imo
pagsabihan,sa
banga,kag
pakibaba,sa
dalagang,sa
paiinumin,sa
betuel,betuel
rebecca,si
pagsasalita,si
nakatapos,betuel
nasisipingan,sa
makikiinom,sa
ibinaba,ang
iiigib,sa
mapainom,sa
ibinuhos,sa
kaagad,sag
tumakbong,sag
tinitingnan,sa
tahimik,sa
kanino,sa
matutuluyan,sa
lumuhod,sa
inilayo,sa
ketura,ketura
jokshan,amo
medan,amo
isbak,amo
shua,ni
zimram,amo
leummim,amo
letusim,amo
assurim,amo
abida,amo
eldaa,amo
efer,amo
kaloob,nga
asawang,sa
pinapunta,sa
inilibing,nga
nalagot,sa
lahai,sa
roi,sa
mibsam,amo
sunod,amo
pagkakasunud,amo
adbeel,amo
kedar,amo
nebayot,ni
duma,mishma
misma,mishma
massa,mishma
jetur,jetur
kedema,jetur
nafis,jetur
tema,jetur
hadad,jetur
nayon,sa
esau,esau
kababayan,sa
nanirahang,sa
padan,padan
arameo,betuel
panalangin,sa
magtanong,amo
naglaban,amo
nakatatanda,magahalin
nakababata,magahalin
hati,nga
ipapanganak,magahalin
panganganak,ang
kambal,bata
mapula,ngalanan
mabalahibong,balahibuhon
katawa,ngalanan
pagkapanganay,sa
nakakapit,sa
animnapung,sa
ipinagbili,ang
pangangaso,jacob
sanay,sa
minahal,kay
nilaga,jacob
nagluto,jacob
pakainin,amo
mapulang,amo
muna,bilang
mapapakinabang,sa
isumpa,amo
lentehas,jacob
sasamahan,sa
sinunod,sa
tagubilin,kasuguan
nilinlang,nag
inakala,sa
dumungaw,madugay
matagal,kag
hinahaplos,madugay
durungawan,madugay
dahilan,sa
gumalaw,sa
ibayo,sa
makasandaang,sa
yaon,sa
umani,sa
naghasik,sa
kinainggitan,kanding
hinukay,ang
pinagtatabunan,sadto
bumubukal,nagkutkot
esec,ila
pinagtalunan,nagkutkot
sitnah,nagkutkot
mabunga,nga
kaluwagan,nagkutkot
sumpaan,sa
tagapayo,kaupod
ficol,kaupod
ahuzath,kaupod
noo,kaupod
kapitan,sa
malinaw,kaupod
ginalaw,sa
nagpahanda,ila
pinalakad,sa
nagsumpaan,ila
gumising,ila
binalitaan,ila
elon,anak
basemat,anak
judith,tuig
beeri,tuig
malabo,anak
ihuli,pa
busog,imo
usa,sa
sandata,sa
ipaghanda,sa
mabasbasan,sa
manghuli,sa
basbasan,sa
sundin,sa
makinis,jacob
mabalahibo,sa
mandaraya,ni
matatanggap,nga
hipuin,ni
mapasaakin,sa
pinakamagandang,ni
bunsong,sa
ibinalot,kanding
hahawakan,mahikap
humalik,sa
naamoy,jacob
suot,kag
saganang,imo
magpapala,sa
magsiyukod,sa
mapapalad,sa
sumusumpa,sa
basbas,sa
bahagya,jacob
nakakaalis,jacob
katatapos,jacob
galing,sa
bangon,gindala
mapalad,sa
kapaitan,ni
sumigaw,iya
pandaraya,nga
tumpak,nagpamangkot
inagawan,nagpamangkot
inilaang,nagpamangkot
pamatok,sa
pagluluksa,sa
kinapootan,nga
inaaliw,jacob
naibalita,sa
pagpaplanong,jacob
mapawi,imo
ipasusundo,imo
malimutan,imo
aasawa,sang
yamot,jacob
paramihin,pa
pasaganain,pa
pinaglakbayan,sa
ariin,sa
pinahayo,sa
ipinagbilin,jacob
kinuhang,sa
mahalat,sa
nagpalipas,pagtulog
nahiga,pagtulog
matulog,pagtulog
ulunan,nga
nanaginip,nagdamgo
manaog,sa
hagdan,sa
nagmamanhik,sa
kinahihigaan,amo
kakalat,imo
nagagawa,kaupod
alamin,kaupod
nagising,nga
binuhusan,ang
bantayog,handumanan
luz,jacob
maisuot,jacob
nagpanata,jacob
nilalakaran,jacob
makabalik,sa
nagpapahinga,sa
labi,ang
pinaiinom,ang
napakalaki,sa
nagkakatipon,makatipon
iginugulong,makatipon
raquel,raquel
pastulin,ila
natitipong,amo
maigulong,amo
hangga,sa
iginulong,kaupod
hinagkan,sa
niyakap,sa
lea,si
kumilos,ni
mapupungay,ni
halina,ni
kahali,ni
naganap,raquel
tinipong,sa
kinagabihan,gindala
zilpa,zilpa
pinaglingkuran,sa
linggong,raquel
ganoon,sa
linggo,sa
bilha,bilha
inibig,sa
mamahalin,bana
kinapopootan,bana
nagkakaanak,raquel
nainggit,jacob
nagkait,naakig
manganak,sa
sinipingan,kag
hinatulan,raquel
pakikipagbuno,raquel
nakipagbuno,nga
kapalaran,bata
tatawagin,ang
maligaya,sa
mandragora,raquel
paggapas,gindala
sisiping,sa
ngayong,ang
ikalimang,sang
iniupa,bana
dina,dina
inalala,nga
kahiyahiya,ang
pagiging,ang
dagdagan,bata
makapunta,pagkatapos
natutunan,sa
ipahihintulot,sa
panghuhula,sa
bumaling,imo
kakaunti,sa
pakakainin,ang
aalagaan,nagpamangkot
maitim,kambang
batik,ang
dungis,kambang
nakaw,kambang
sasagot,sa
huli,kambang
pinaalagaan,kambang
puti,kambang
pinakain,amo
agwat,amo
alamo,nga
almendro,nga
sanga,nga
kastano,nga
binalatan,nga
mapuputi,nga
pinalitaw,nga
kayamanan,sa
tinamo,jacob
pagturing,pagtratar
ipinaglingkod,sa
binago,dios
sahod,ang
magkagayon,ko
nanganganak,amo
nakipagtalik,sa
nagtatalik,kambang
nakikipagtalik,kambang
sinilangan,handumanan
panata,sa
natitirang,raquel
nagsisagot,jacob
inubos,sa
itinuring,kag
kayamanang,nga
mahanaim,ila
namalagi,jacob
inutusan,ila
sugo,ginsugo
sumalubong,ginsugo
nabahala,jacob
puksain,mag
tatakas,nga
jordang,imo
katotohanan,sa
karapat,imo
kaawaan,imo
pagpapatayin,imo
buhangin,sa
panregalo,nga
inahin,ila
kamelyong,ila
nakabukod,maglakat
tanungin,sa
regalo,sa
padala,regalo
nakasalubong,amo
ipinauna,jacob
mapaglubag,jacob
ipinadala,ila
peniel,jacob
nauna,sa
jaboc,gindala
tumawid,gindala
tawiran,gindala
itinawid,ni
batis,nga
magbukang,nagaisahanon
naiwang,nagaisahanon
liwayway,nagaisahanon
nalinsad,jacob
nakikipagbuno,jacob
kasu,jacob
kasuan,jacob
manalo,jacob
bibitawan,jacob
malibang,ang
bitawan,jacob
nagbubukang,jacob
itinatanong,nagpamangkot
naligtas,jacob
penuel,jacob
pilay,jacob
sinikatan,jacob
papilay,jacob
litid,amo
kasamang,ila
pangalawa,ila
pinakahuli,ila
mapalapit,nga
iyakan,nga
niyapos,nga
nagsiyuko,dayon
nasalubong,nagpamangkot
kahulugan,ang
nalugod,jacob
hinimok,sa
sasama,si
pinagmadali,maglakat
nagpapasuso,maglakat
mahihina,maglakat
magpauna,mag
dahan,mag
hakbang,mag
makarating,sa
magpapatuloy,sa
lakad,seir
balag,jacob
pinagtayuan,amo
halagang,sa
hamor,ang
elohe,ngalanan
el,ngalanan
pagmamahal,sa
nangusap,sa
napalapit,sa
pinagsamantalahan,jacob
nabalitaan,sa
magsiuwi,ila
pagsiping,sa
kalapastanganan,ila
ipagkaloob,ila
nasasabik,ila
magsipag,sa
mangalakal,mag
bigay,sa
magagawang,sa
papayag,magpatuli
tuliin,magpatuli
makikisama,sa
maninirahan,sa
matuli,maglakat
nasiyahan,ni
pinakamarangal,sa
atubili,sa
makitungo,ila
laki,ila
magsipangalakal,ila
ipakasal,ila
riyan,ila
tumirang,ila
patuli,ila
sumang,sa
mahapdi,ila
palihim,ila
nilooban,nga
nagsialis,nga
sinamsam,kabataan
magtitipon,sa
iilan,sa
kasuklamsuklam,sa
sasalakayin,sa
binagabag,jacob
maglinis,jacob
banyagang,jacob
palitan,ang
kabalisahan,sa
saanman,sa
debora,sa
yaya,sa
bacuth,sa
allon,sa
manggaling,jacob
zibeon,amo
aholibama,amo
ana,amo
elifaz,ni
jalam,amo
jeus,amo
tustusan,ila
makayang,ila
edomita,amo
omar,amo
kenaz,amo
zefo,amo
teman,amo
gatam,ni
timna,ang
zera,ni
nahat,ni
shammah,ni
mizza,ni
pinunong,sila
lotan,amo
sobal,amo
disan,nga
eser,sila
dishon,kag
hori,amo
heman,amo
alvan,amo
manahat,amo
ebal,amo
onam,amo
maiinit,amo
aya,amo
cheran,amo
hemdan,amo
esban,amo
itran,amo
acan,amo
bilhan,amo
zaavan,amo
aran,iram
pamilya,sa
salaysay,amo
ibinalita,amo
labimpitong,sa
nagpapastol,amo
mahabang,sa
isalaysay,naakig
napoot,naakig
napanaginip,ang
nagtatali,sa
mamamahala,naakig
pinagalitan,naakig
isipan,sa
hira,sa
adullamita,sa
tinatawag,ni
er,er
onan,onan
chezib,ngalanan
pinapag,sa
pakasalan,bana
ipagbangon,bana
itinatapon,sa
mabigyan,sa
tapos,kaupod
pagdaan,kaupod
manggugupit,kaupod
kaibigang,kaupod
umaahon,tamar
ibalita,tamar
pagupitan,tamar
belo,mapadala
nagbalatkayo,mapadala
nagpalit,mapadala
enaim,mapadala
ismaelita,sa
bantay,sa
potifar,sa
maunlad,ubayan
among,ubayan
umuunlad,ni
katulong,ang
ipinamahala,ang
pamahalain,sa
matipuno,pagkaon
makisig,pagkaon
nakikialam,ang
kinakain,ang
tinitigan,nga
tumanggi,ang
makisama,sa
tuyain,bana
pinasok,bana
nagtaas,gani
iningatan,bana
ibinilanggo,sa
bilanggo,prisohan
pinagkukulungan,ginpadakop
pangangalaga,gintugyan
pinagpapala,sa
pamamahala,sa
panadero,sa
kopa,ang
katiwala,sa
tagapamahala,sa
bilangguang,prisohan
kinapipiitan,prisohan
mamahala,nga
inatasan,nga
balisa,sila
paliwanag,sa
makapagpaliwanag,sa
ubas,ang
buwig,sanga
namulaklak,sanga
hinog,sanga
pagsipot,sanga
piniga,pagkatapos
katungkulan,sa
napabuti,sa
ginagawang,sa
kaing,ang
ibinalik,sa
ibinitin,ni
ipinakahulugan,ni
nakalimutan,ilimnon
matataba,pito
pangit,nga
pito,pito
payat,pito
pampang,may
nagsihinto,pito
mabibintog,matinggas
natulog,sa
umusbong,sa
pagkakataon,sa
malulusog,matinggas
tangkay,sa
tumubong,sa
tinuyo,sa
diwa,ila
nabagabag,ila
naaalala,sa
pagkakasala,sa
ipinaliwanag,sa
ipinabitay,sa
makapag,sa
makapagpalit,sa
ahit,sa
naipapaliwanag,sa
pagkarinig,sa
kapayapaan,sa
nagsiahon,sa
kapangitan,sa
napakapangit,sa
nauunang,nga
makapagsasabi,amo
makain,amo
umuusbong,sa
lanta,sa
umahong,ang
ipinaalam,mahal
kasaganaan,sang
sasalantain,sa
malilimutan,sa
maaalala,duta
napakatindi,sang
makalawa,dios
uulit,dios
nangangahulugan,dios
pahanapin,mahal
maglagay,sa
masasaganang,ila
itabi,ila
ikamalig,ila
mapuksa,sa
laan,sa
ikinatuwa,ni
mungkahi,ni
kinakasihan,sa
nagtitinginan,jacob
mangyaring,sa
nagsidating,kaupod
nakasubsob,sa
nagbibili,sa
nagkunwaring,ila
marahas,masakit
espiya,mga
nagsiparito,nagkadto
magkakapatid,sa
masusubok,sa
magkakasama,sa
maiwan,sa
nakabilanggo,sa
mapapatotohanan,mapamatud
pighating,amo
makiusap,amo
pighati,amo
pagtutuos,sa
naiintindihan,ni
tagapagsalin,ni
sako,sa
ipinag,ila
mababaon,ila
ipinapasan,ni
pagbubukas,ila
tuluyan,sa
nanlupaypay,nagsinggit
makakapangalakal,sa
inaalisan,ila
bungkos,ila
pinangulila,ila
maibabalik,sa
ipapatay,sa
kapanglawan,sa
sheol,sa
pabababain,jacob
uban,sa
matindi,sa
nagbabala,kaupod
pasasamahin,sa
ibibili,sa
tanong,nagpamangkot
masusing,nagpamangkot
pasamahin,makalakat
sisi,sa
panagutin,sa
naiharap,sa
mananagot,sa
naibalik,sa
nakabalik,nga
naantala,nga
almendras,amo
pili,amo
mira,amo
napansin,sa
pabalik,sa
dobleng,ang
mangungulila,sa
mangulila,sa
manananghaliang,kaupod
dakpin,gindala
karagdagang,sa
ibili,sa
alala,amo
makapaghugas,ila
magsisikain,ila
tanghali,ila
maiiyakan,sa
humanap,sa
nanaig,sa
maghain,ila
naghilamos,ila
nagpigil,ila
hinainan,kaupod
kumakaing,kaupod
pagkabunso,ila
nagtinginan,ila
pagkamangha,ila
nagkatuwaang,kaupod
madadala,ila
kopang,sa
habulin,ila
ginantihan,ila
nakakalayo,ila
iniinuman,sa
nanghuhula,sa
mananakaw,gindala
sinaliksik,sa
kinargahan,ila
pinunit,ila
nandoon,sa
makapanghuhula,ila
kinatagpuan,amo
sasalitain,amo
makakapangatuwiran,amo
umuwing,amo
nawang,sa
bumabang,kaupod
makikitang,kaupod
makakababa,kaupod
sakuna,tigulang
ibababa,tigulang
nakatali,nga
panagot,sa
halip,imo
makakapunta,kaupod
magpakilala,kaupod
nakapagpigil,kaupod
makasagot,sa
magdalamhati,amo
magligtas,amo
pagbubukid,sing
nakaligtas,sa
magpanatili,sa
magtagal,sa
malalapit,kabataan
tutustusan,sa
nagsasalita,amo
iginagalang,sa
humilig,amo
ulat,sa
minabuti,sa
kargahan,ila
katabaan,ila
tamasahin,ila
inuutusan,ila
bihisan,ila
pampalit,ila
asnong,sa
pasang,sa
aaway,mag
nabigla,ila
katunaya,ila
makapaniwala,ila
nanauli,ila
isasara,sa
inapong,gindala
natamo,gindala
perez,sa
hamul,sa
simron,ni
job,ni
tola,ni
jalel,ni
sered,ni
zifion,sa
hagui,sa
suni,sa
ezbon,sa
areli,sa
eri,sa
arodi,sa
beriah,utod
isui,utod
malkiel,utod
imna,utod
isva,utod
sera,utod
potifera,amo
asenat,amo
on,amo
manases,sa
efraim,sa
asbel,bela
ros,bela
ehi,bela
naaman,bela
ard,bela
beker,bela
hupim,bela
muppim,bela
husim,nag
jahzeel,ni
jeser,ni
guni,ni
shilem,ni
yumakap,ang
hanapbuhay,trabaho
patirahin,sa
iniharap,ginpakilala
pastulan,mag
pinatayo,gindala
gaanong,edad
karami,edad
maihahambing,malip
masasama,malip
pamumuhay,malip
pinatira,sa
nanghina,nagluya
trigong,sa
binibili,gindala
naubos,sa
maililihim,sa
naiiwan,sa
matapos,sa
bilhin,ang
tanging,ang
hasikan,ginbakal
kasambahay,sa
gugustuhin,sa
pakiusap,ikalima
sumagana,ila
mangako,sa
humimlay,sa
nagpalakas,ginsugiran
palalaguin,ila
bethlehem,amo
efrata,amo
babasbasan,sa
akalaing,imo
tuhod,ni
iniyuko,ang
kaliwang,sa
pinagkrus,amo
tumubos,sa
ilipat,sa
ipatong,amo
lagi,pagaupdan
tipon,sa
magtipun,sa
pinakamataas,sa
kasakdalan,sa
kumukulong,nagabukal
dinumihan,nagabukal
mangingibabaw,nagabukal
sumampa,nagabukal
nilumpo,mag
ikakalat,sa
leon,sa
lumugmok,sa
makakagising,sa
pagkahuli,sa
shilo,magahalin
pagkapuno,magahalin
mahihiwalay,magahalin
setro,magahalin
pagtalima,magahalin
namumula,sa
namumuti,magaputi
tatahan,sa
sasakyang,sa
kanlungan,sa
nahihiga,makusog
pinagagawa,imo
pagpapahingahan,imo
hahatol,sing
landas,sa
sakay,sa
nahuhulog,sa
ulupong,sa
nangangagat,sa
hinintay,jacob
sasalakay,tulisan
mandarambong,tulisan
tataba,sa
pinakawalan,ginbuy
supling,sa
mabungang,sa
tambangan,ila
ginigipit,ila
bihasa,ila
namamana,ila
pinalakas,ila
nalalagay,kabataan
tutulong,kabataan
kilay,sa
mapasaulo,madugay
lobong,sa
nilalamon,sa
nasila,sa
paglilibing,sa
sinalita,amo
makasama,jacob
makapagbilin,kabataan
nalagutan,kabataan
itinikom,kabataan
manggagamot,ginsugo
inembalsamo,ginbalsamar
embalsamuhin,ginsugo
matupad,egiptohanon
iimbalsamo,egiptohanon
gumugol,egiptohanon
pagtangis,ila
pinanumpa,sa
ipinasumpa,pagkahibalo
matatandang,kaupod
napakalaking,sila
ipinagluksa,ila
giikan,ila
atad,ila
mailibing,sa
gantihan,ila
pagkakamali,ila
nagnasa,magaresulta
mapanatiling,magaresulta
kabaitan,pagkapatay
nagsalitang,pagkapatay
inaliw,pagkapatay
makir,sa
dadalawin,sa
kabaong,lungon
ikatutubos,sa
babalatan,hiwa
hilagang,sa
kakatayin,sa
puputulan,pari
patutuluin,sa
butsi,sa
ihahagis,sa
silangang,sa
bibiyakin,sa
kamanyang,insenso
luto,sa
kawali,sa
sangkap,ihalad
magsusunog,sa
mawalan,regalo
titimplahan,regalo
niligis,bilang
sinangag,sa
bumabalot,sa
aalising,pati
lamad,parte
gulugod,amo
pinakamalapit,amo
inihandog,sa
nakagawa,sang
nagbunga,pari
ilulubog,sa
pinagtatapunan,abo
kasalanang,nga
torong,sa
pagkasunog,amo
naipaalam,kanding
pinagkakatayan,sa
pangkaraniwang,sa
pinagpapatayan,sa
nalabing,sa
nagkakasala,nga
panawagan,sa
parusahan,sa
hayagang,sa
nakarinig,sa
sumaksi,sa
umuusad,nga
nakahipo,mahigko
marumi,nga
karumihan,nga
padalus,pasapayan
panunumpa,pasapayan
dalos,pasapayan
ipahayag,sa
budhing,sa
maysala,sa
pipilipitin,sa
magwiwisik,sa
pagsira,sa
pagtitiwala,sa
itinakda,sa
ipinagkasala,amo
magdaragdag,ang
habilin,sa
sumuway,sa
pangingikil,sa
nagsinungaling,sa
kasinungalingan,sa
nawawalang,sa
naunawaan,mapamatud
inihabilin,mapamatud
habiling,mapamatud
daragdagan,ang
nagmamay,sa
kabulaanan,sa
sinumpaan,sa
napatunayang,dapat
mataba,ikog
magmamay,bilang
mapupunta,sa
pantay,pari
tuyo,pari
pasasalamat,sa
magkakasala,sa
ibibilang,sa
mapasagi,mahigko
maruming,sa
paggagamitan,sa
iwagayway,sa
nagkatipon,nga
hinugasan,sa
ibinigkis,pari
binigkisan,pari
pagkakahabi,pari
ginintuang,ginsugo
plata,ginsugo
pinalapit,gindala
ipinahid,sa
nilinis,sa
makagawa,sa
kinatay,pa
nilangisan,sa
iwinagayway,ginsugo
maganap,pito
ihandog,sa
magpakita,sa
putol,gindala
palad,sa
suuban,sa
pinatungan,amo
maluluwalhati,amo
nanahimik,amo
amain,sa
magsilapit,kuhaa
binuhat,gindala
tataghoy,amo
punitin,amo
ilugay,amo
buhok,sa
alituntunin,nga
iinom,imo
matapang,imo
tungkulin,sa
kaining,kuhaa
hinanap,naakig
sikap,naakig
nalalabing,naakig
banalang,ila
tiniyak,ginsugo
lugod,ila
nakakain,ila
kalugud,ila
biyak,ila
ngumunguya,nga
kuneho,nagausang
liebre,mahigko
baboy,bisan
kaliskis,ila
palikpik,ila
pandidirihan,ila
buwitre,kabog
buwitreng,kabog
itim,kabog
limbas,kabog
lawin,kabog
avestruz,kabog
panggabing,kabog
lawing,kabog
somormuho,kabog
kuwago,kabog
puting,kabog
pelikano,kabog
kabág,kabog
tagak,kabog
paniki,kabog
kulisap,kabigon
ginagamit,kabigon
makalundag,kabigon
tipaklong,kabigon
kuliglig,kabigon
lukton,kabigon
maglalaba,ang
bumuhat,mahigko
kuko,nagausang
bubuwit,mahigko
daga,mahigko
bayawak,mahigko
bubuli,mahigko
buwaya,mahigko
butiki,mahigko
tuko,mahigko
hunyango,mahigko
malapatan,ang
kasangkapang,mahigko
babasagin,ang
mabuhusan,mahigko
inuming,sa
kalan,mahigko
masagi,mahigko
panghasik,magapabilin
binhing,magapabilin
ihahasik,magapabilin
nabasa,nahulom
marumihan,amo
durungisan,amo
magpakabanal,sa
regla,sa
pagkakaroon,mahigko
maglihi,mahigko
paglilinis,nga
itutubos,sa
malilinis,amo
pamamaga,sa
singaw,guros
ketong,nga
langib,guros
masuri,mahigko
malalim,sa
susuriin,sa
pumuti,pari
lalabhan,sa
namutla,sa
kumakalat,guros
ikukulong,mahigko
maaabot,sa
bumalot,sa
pumuting,mahigko
gumaling,pari
ikuha,pari
sedro,ang
itutubog,sa
pakakawalan,sa
lilinisin,sa
aahitin,magpaligo
maliligo,magpaligo
baba,magpaligo
log,sa
naglilinis,pari
makakasapat,amo
pinaglagyan,sa
alin,sa
abot,sa
yatang,pari
alisan,mahigko
berde,sa
nagkukulay,sa
dingding,sa
pagsusuri,sa
itapon,mahigko
ipakakayod,mahigko
kinayod,mahigko
duming,mahigko
pampalitada,nga
ihahalili,nga
mapalitadahan,pagkatapos
ipakayod,pagkatapos
magsisiyasat,mahigko
nakakasira,mahigko
palitada,mahigko
gigibain,sa
ipinasara,mahigko
napagaling,sa
maingat,sa
sinulid,isopo
kaparangan,sa
pangangati,sa
makintab,amo
tulo,nga
higaang,mahigko
mahigaan,mahigko
maupuan,mahigko
lumura,mahigko
sakyan,mahigko
sapin,mahigko
mahipo,ang
nakapaghugas,mahigko
babanlawan,kolon
paliliguan,ang
bibilang,sa
luminis,amo
nilalabasan,mahigko
pagdurugo,ang
buwanang,mahigko
hinipo,mahigko
labasan,mahigko
lampas,mahigko
hinihigan,mahigko
ihihiwalay,ila
dinungisan,sa
sumisiping,amo
dinudugo,amo
dalang,amo
panloob,magpaligo
magsusuot,ang
turbanteng,magpaligo
magbibigkis,magpaligo
palabunutan,diin
azazel,kanding
pipiliin,diin
ihaharap,sa
nabunot,kanding
itubos,ila
payaunin,ila
baga,sa
dinikdik,sa
tumakip,sa
matubos,sa
babanalin,sa
paglabag,ila
ipapadala,ila
huhubarin,sa
nagpakawala,magpaligo
pagdaraos,magpaligo
magpakasakit,amo
linisin,amo
alituntuning,sa
hihirangin,amo
tubusin,nga
ipaparatang,amo
nagbubo,amo
pinapatay,amo
demonyong,sa
pagtataksil,sa
sanhi,sa
tumutubos,amo
humuli,sa
tatabunan,sa
katutubo,sa
paliguan,magpaligo
tataglayin,magpaligo
pinagdadalhan,sa
pagtatalik,ang
bawal,amo
tinupad,amo
ilitaw,sa
ililitaw,sa
tiya,imo
papakisamahan,sa
kaagaw,imo
hipag,imo
pagreregla,mahigko
dungisan,sa
molec,sa
mahalay,mahigko
makasiping,mahigko
isinusuka,ila
nadungisan,sa
pagsuka,ila
isuka,sa
bilin,sa
kaugaliang,amo
gumalang,amo
babaling,amo
inanyuan,amo
nalaglag,sa
titipunin,mga
gagapasan,mag
anihin,mag
ginagapas,mag
ginapasan,mag
uubusin,amo
magsisinungaling,isigkatawo
upahang,sang
gigipitin,isigkatawo
pagnakawan,isigkatawo
katakutan,amo
mumurahin,amo
katitisuran,amo
magtatangi,pagpaburan
itatangi,pagpaburan
kalikuan,pagpaburan
pagkatao,sa
magpaparoo,amo
titindig,amo
tagapagdala,amo
tsismis,amo
kapopootan,kamo
sasawayin,isigkatawo
magpasan,isigkatawo
magtatanim,amo
iibigin,amo
maghihiganti,amo
hibla,pagpakastahi
magkaibang,pagpakastahi
palalahian,pagpakastahi
pagsisiyasat,mahigko
nabibigyan,mahigko
natutubos,mahigko
kalayaan,tuig
nakatakdang,mahigko
ipinikit,sa
pagpapakasama,sa
ugnay,kalag
nagpapakasamang,kalag
isasagawa,sa
kasagwaan,sa
lumalait,sa
nilait,sa
mangalunya,sa
nangalunya,sa
naglitaw,ila
kahalayan,ila
inilitaw,sa
hinubaran,sa
daloy,sa
kalinisan,mahigko
tatahanan,sa
pagdadalhan,sa
nasusuklam,ila
binubukalan,ila
nagbukod,ila
marurumi,mahigko
inihiwalay,mahigko
sumasangguni,kalag
madungisan,bana
malapastanganan,kaugalingon
kalbong,sa
hihiwaan,sa
gugupitin,sa
balbas,sa
nilalapastangan,mahigko
pagpapaupa,mahigko
pangunahin,patay
maglugay,patay
magsuot,patay
pagtalaga,bana
magsilayo,amo
lapastanganin,amo
kalagayang,mahigko
nilabasan,mahigko
makakapagparumi,mahigko
pagkalubog,mahigko
marurumihan,mahigko
ipagkakasala,ibaliwala
manunuluyan,pari
magkamaling,sa
magbubunga,sa
pagpasan,sa
kabayaran,ila
pagtupad,sa
matanggap,sa
sakdal,sa
bali,sa
galis,sa
kapansanan,sa
napakahaba,sa
napakaikli,sa
kasarian,sa
nadurog,sa
naputol,sa
haharapin,sa
pagpupulong,sa
inani,sa
nagapas,sa
madala,sa
pagkalipas,sa
magpapahayag,amo
ginapas,amo
ipinagdiriwang,pagdumdom
kubol,sa
ikasiyam,sa
magpapakumbaba,sa
mayayabong,sa
kapistahang,sa
iutos,ginsugo
magluluto,sa
tungkuling,sa
halimbawa,ila
makatarungang,ila
shelomit,amo
debri,amo
magpatong,ila
manlalait,ila
lumait,ila
magpapalit,ang
pininsala,sa
pagkapinsala,sa
pipinsalain,sa
pinagbabato,gindala
nanlait,gindala
pupungusan,sa
inanihan,tanom
tumubo,tanom
pagpapabalik,sa
hayupan,kasapatan
makapitong,amo
patutunugin,amo
jubileo,ila
ikalimampung,sa
ubasang,sa
maghahasik,sa
niyan,mag
taóng,sa
magbili,sa
manlamang,sa
magbibili,sa
pananim,tuig
bibili,sa
kakauntian,mag
ipinagbibili,mag
matatakot,tahura
suliranin,tahura
tiwasay,sa
nakikipamayang,sa
maipagbibili,sa
naghirap,ang
manunubos,sa
masagana,sa
pinagbilhan,sa
bibilangin,sa
mapapasa,sa
maibalik,sa
bibitiwan,sa
maipagbili,ang
nagbili,pader
tirahang,pader
napapaderang,sa
mababawi,sa
bukirin,pader
makakatubos,ang
pautang,ila
aalalayan,sa
mamumuhay,sa
nakikipanuluyan,sa
buhayin,sa
pakinabang,sa
patubo,sa
pagpapalaya,nagpaguwa
nakikipanirahan,sa
kabagsikan,sa
bibilhin,sa
maiaatang,ila
yumaman,sa
nakikipanirahang,sa
pagkabili,amo
bibilangang,amo
ibinili,amo
pagkatubos,amo
yukuran,handumanan
magtatayo,handumanan
larawang,handumanan
igagalang,amo
aabot,sa
paggiik,sa
katatakutan,sa
mahihiga,sa
mabubuwal,sa
hahabol,5
papagtibayin,sa
lilingapin,sa
inilaan,amo
luma,amo
mapopoot,sa
sinira,sa
kasusuklaman,sa
unting,amo
kikitil,amo
aapoy,amo
lagnat,amo
sisira,amo
itututok,sa
masasaktan,sa
humahabol,sa
kahambugan,pagpaulanon
gugugulin,sing
salungat,sa
maiilap,sa
aagawan,sa
mawawalan,sa
maturuan,sa
ipaghiganti,sa
magpapadala,sa
matitipon,sa
mabubusog,sa
ipamamahagi,sa
timbangan,sa
sasalungat,sa
matataas,sa
aamuyin,sa
magtataka,sa
basurahan,gira
pagbubunutan,gira
nananatiling,sa
magtatamasa,sa
magagalak,sa
tatamasahin,sa
ipinagpahinga,sa
pagkasira,sa
nalalaglag,gindala
malalabi,gindala
dahong,gindala
dadalhan,gindala
magkakatisuran,gindala
lalamunin,sa
mabubulok,tungod
mapagtiis,tungod
nagtaksil,pagpakatig
magbayad,pagpakatig
aalalahanin,sa
sira,sa
itinakuwil,sa
pababayaan,sa
itatakuwil,amo
ihahalaga,sa
itutumbas,4
tutumbasan,sa
itinakdang,amo
patatayuin,amo
pinalitan,pagbayluhan
papalitan,pagbayluhan
babaguhin,pagbayluhan
maihahandog,mahigko
paghahalaga,nga
hahalagahan,nga
magtatalaga,sa
inihalaga,bili
nagtalaga,sa
